expo,table,project,sponsors,link,
231,1,Zydeco,TBA,http://dubhacks15f.devpost.com/submissions/42794-zydeco,
231,2,CheSMS,TBA,http://dubhacks15f.devpost.com/submissions/42804-chesms,
231,3,BillSplit,,http://dubhacks15f.devpost.com/submissions/42805-billsplit,
231,4,Food Lover,TBA,http://dubhacks15f.devpost.com/submissions/42806-food-lover,
231,5,Local-Do.co,"Built on .CO Domain,Best Use of Clarifai API,Best Use of Firebase (Google)",http://dubhacks15f.devpost.com/submissions/42807-local-do-co,
231,6,,,,
231,7,,,,
231,8,,,,
231,9,,,,
231,10,,,,
231,11,,,,
231,12,,,,
231,13,,,,
231,14,,,,
231,15,,,,
231,16,,,,
231,17,,,,
231,18,,,,
231,19,,,,
231,20,,,,
231,21,,,,
231,22,,,,
231,23,,,,
241,1,,,,
241,2,,,,
241,3,,,,
241,4,,,,
241,5,,,,
241,6,,,,
241,7,,,,
241,8,,,,
241,9,,,,
241,10,,,,
241,11,,,,
241,12,,,,
241,13,,,,
241,14,,,,
241,15,,,,
241,16,,,,
241,17,,,,
241,18,,,,
241,19,,,,
241,20,,,,
241,21,,,,
241,22,,,,
241,23,,,,
241,24,,,,
241,25,,,,
241,26,,,,
241,27,,,,
241,28,,,,
241,29,,,,
241,30,,,,
241,31,,,,
241,32,,,,
241,33,,,,
241,34,,,,
241,35,,,,
241,36,,,,
241,37,,,,
241,38,,,,
241,39,,,,
241,40,,,,
241,41,,,,
241,42,,,,
241,43,,,,
241,44,,,,
251,1,,,,
251,2,,,,
251,3,,,,
251,4,,,,
251,5,,,,
251,6,,,,
251,7,,,,
251,8,,,,
251,9,,,,
251,10,,,,
251,11,,,,
251,12,,,,
251,13,,,,
251,14,,,,
251,15,,,,
251,16,,,,
251,17,,,,
251,18,,,,
251,19,,,,
251,20,,,,
251,21,,,,
251,22,,,,
251,23,,,,
234,1,,,,
234,2,,,,
234,3,,,,
234,4,,,,
234,5,,,,
234,6,,,,
234,7,,,,
234,8,,,,
234,9,,,,
234,10,,,,
234,11,,,,
234,12,,,,
234,13,,,,
234,14,,,,
234,15,,,,
234,16,,,,
228,1,,,,
228,2,,,,
228,3,,,,
228,4,,,,
228,5,,,,
228,6,,,,
228,7,,,,
228,8,,,,
228,9,,,,
228,10,,,,
228,11,,,,
228,12,,,,
228,13,,,,
228,14,,,,
228,15,,,,
238,1,,,,
238,2,,,,
238,3,,,,
238,4,,,,
238,5,,,,
238,6,,,,
238,7,,,,
238,8,,,,
238,9,,,,
238,10,,,,
238,11,,,,
238,12,,,,
238,13,,,,
238,14,,,,
238,15,,,,
238,16,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,*
,,,,,*
,,,,,*
,,,,,*
